State,Reporting period,Release date,Metric name ,Data Type,Value 
AK,202312,202407,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.2011
AK,202312,202407,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.1385
AK,202312,202407,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.0626
AK,202312,202407,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.2512
AK,202311,202406,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,10778
AK,202311,202406,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,5596
AK,202311,202406,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,2956
AK,202311,202406,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,2640
AK,202311,202406,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,2081
AK,202311,202406,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,1326
AK,202311,202406,Total beneficiaries whose coverage was terminated for a procedural or administrative reason  (Metric 5c),Updated,755
AK,202311,202406,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),Updated,3101
AK,202311,202406,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),Updated,0.5192
AK,202311,202406,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a1 / 5),Updated,0.2743
AK,202311,202406,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a2 / 5),Updated,0.2449
AK,202311,202406,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.1931
AK,202311,202406,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.123
AK,202311,202406,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.0701
AK,202311,202406,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.2877
AK,202310,202405,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,11813
AK,202310,202405,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,6051
AK,202310,202405,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,3232
AK,202310,202405,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,2819
AK,202310,202405,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,2331
AK,202310,202405,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,1554
AK,202310,202405,Total beneficiaries whose coverage was terminated for a procedural or administrative reason  (Metric 5c),Updated,777
AK,202310,202405,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),Updated,3431
AK,202310,202405,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),Updated,0.5122
AK,202310,202405,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a1 / 5),Updated,0.2736
AK,202310,202405,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a2 / 5),Updated,0.2386
AK,202310,202405,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.1973
AK,202310,202405,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.1315
AK,202310,202405,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.0658
AK,202310,202405,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.2904
AK,202309,202405,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,12884
AK,202309,202405,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,5693
AK,202309,202405,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,3055
AK,202309,202405,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,2638
AK,202309,202405,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,2654
AK,202309,202405,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,1872
AK,202309,202405,Total beneficiaries whose coverage was terminated for a procedural or administrative reason  (Metric 5c),Updated,782
AK,202309,202405,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),Updated,4537
AK,202309,202405,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),Updated,0.4419
AK,202309,202405,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a1 / 5),Updated,0.2371
AK,202309,202405,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a2 / 5),Updated,0.2048
AK,202309,202405,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.206
AK,202309,202405,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.1453
AK,202309,202405,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.0607
AK,202309,202405,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.3521
AK,202308,202404,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,19995
AK,202308,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,7911
AK,202308,202404,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,5634
AK,202308,202404,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,2277
AK,202308,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,10552
AK,202308,202404,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,2382
AK,202308,202404,Total beneficiaries whose coverage was terminated for a procedural or administrative reason  (Metric 5c),Updated,8170
AK,202308,202404,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),Updated,1532
AK,202308,202404,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),Updated,0.3956
AK,202308,202404,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a1 / 5),Updated,0.2818
AK,202308,202404,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a2 / 5),Updated,0.1139
AK,202308,202404,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.5277
AK,202308,202404,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.1191
AK,202308,202404,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.4086
AK,202308,202404,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.0766
AK,202307,202404,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,14250
AK,202307,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,5632
AK,202307,202404,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,4011
AK,202307,202404,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,1621
AK,202307,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,7599
AK,202307,202404,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,1859
AK,202307,202404,Total beneficiaries whose coverage was terminated for a procedural or administrative reason  (Metric 5c),Updated,5740
AK,202307,202404,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),Updated,1019
AK,202307,202404,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),Updated,0.3952
AK,202307,202404,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a1 / 5),Updated,0.2815
AK,202307,202404,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a2 / 5),Updated,0.1138
AK,202307,202404,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.5333
AK,202307,202404,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.1305
AK,202307,202404,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.4028
AK,202307,202404,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.0715
AK,202306,202404,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,7530
AK,202306,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,3032
AK,202306,202404,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,1867
AK,202306,202404,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,1165
AK,202306,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,3598
AK,202306,202404,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,1424
AK,202306,202404,Total beneficiaries whose coverage was terminated for a procedural or administrative reason  (Metric 5c),Updated,2174
AK,202306,202404,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),Updated,900
AK,202306,202404,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),Updated,0.4027
AK,202306,202404,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a1 / 5),Updated,0.2479
AK,202306,202404,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month  (Metric 5a2 / 5),Updated,0.1547
AK,202306,202404,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),Updated,0.4778
AK,202306,202404,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),Updated,0.1891
AK,202306,202404,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month  (Metric 5c / 5),Updated,0.2887
AK,202306,202404,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month  (Metric 5d / 5),Updated,0.1195
AK,202305,202404,Total number of beneficiaries due for renewal in the reporting month (Metric 5),Updated,6539
AK,202305,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed  (Metric 5a),Updated,2413
AK,202305,202404,Total beneficiaries renewed on an ex parte basis (i.e. based on available information)  (Metric 5a1),Updated,1193
AK,202305,202404,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),Updated,1220
AK,202305,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),Updated,3131
AK,202305,202404,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form  (Metric 5b),Updated,1195
