"Table Name","Table Description","Column Name","Column Description","Data Type",Sensitive
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_CARERS_EMPLOYMENT,"Carers in household and their employment",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_CARERS_HEALTH,"Unpaid carers in household and their general health",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_COMPOSITION_WELSH,"Welsh household composition",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DEPENDENT_CHILDREN,"Household dependent children",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DEPRIVATION,"Classification of household deprivation",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DEPRIVATION_EDUCATION,"Household education deprivation",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DEPRIVATION_EMPLOYMENT,"Household employment deprivation",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DEPRIVATION_HEALTH,"Health and disability deprivation",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DEPRIVATION_HOUSING,"Household Housing Deprivation",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_DISABLED,"Number of disabled people in the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_FAMILIES_COUNT,"Count of families in the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_FAMILIES_TYPE,"Type of families in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_FAMILY_COMPOSITION,"Household family composition",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_LANGUAGE,"English or Welsh as a household language",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_LIFESTAGE,"Household Lifestage",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_MULTI_ETHNIC_COMBINATION,"Multiple ethnic group household combination",INTEGER,true
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_MULTI_ETHNIC_GROUP,"Multiple ethnic group household",INTEGER,true
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_MULTI_LANGUAGE,"Multiple main languages in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_NOT_LIMITED,"Number of people in the household with a long-term health problem not causing limitation",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_NO_CONDITION,"Number of people in the household without a long-term health problem",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_NUMBER_LIMITED_LITTLE,"Number of disabled people in the household who are limited a little in their ability to carry out day-to-day activities",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_NUMBER_LIMITED_LOT,"Number of disabled people in the household who are limited a lot in their ability to carry out day-to-day activities",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_NUMBER_OF_VISITORS,"Number of visitors in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_PERSONS_PER_BEDROOM,"Persons per bedroom",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_PERSONS_PER_ROOM,"Persons per room",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_RECORD_KEY,"Household Record Key",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_ROOMS_REQUIRED,"Number of rooms required by the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_SIZE,"Household size",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_SIZE_ALL_20,"Number of people in household regardless of resident status",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_SPACE_OCCUPANCY,"Indicator of unoccupied household space",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_TENURE,"Tenure of household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_VETERANS,"Count of former UK Armed Forces personnel in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_WELSH_SPEAKING_ADULTS,"Number of Welsh speaking adults in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_WELSH_SPEAK_3_PLUS,"Number of welsh speakers aged 3 and over in the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HOUSEHOLD_ID_E,"Household ID",BIGINT,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",LANDLORD,"Landlord type",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",MOVING_HH_IND,"Moving household indicator",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",NUMBER_BEDROOMS,"Number of bedrooms",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",NUMBER_OF_CARS,"Number of cars",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",NUMBER_OF_RESIDENTS,"Number of residents",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",NUMBER_OF_ROOMS,"Number of rooms",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",NUMBER_OF_VISITORS,"Number of visitors staying overnight at the establishment",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",OCCUPANCY_RATING_BEDROOMS,"Occupancy rating (bedrooms standard)",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",OCCUPANCY_RATING_ROOMS,"Occupancy rating (rooms standard)",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",OWNERSHIP_TYPE,"Tenure type",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",QID_E,"Questionnaire ID",BIGINT,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",RESPONSE_ID_E,"Response ID",BIGINT,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",SELF_CONTAINED,Self-contained,INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",TENHUK_20,"Ownership status of the household&amp;rsquo;s accommodation synchronise the Census and CCS definitions",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",TENURE_LANDLORD_20,"Ownership status of the household&amp;rsquo;s accommodation synchronise the Census and CCS definitions",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",WHO_IS_STAYING,"Who else is staying overnight",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",WHO_USUALLY_LIVES_HERE,"Who lives in the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",WORKERS_TRANSPORT,"Workers in household and their transport to work",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",ADDRESS_CODING_METHOD,"Address (Coding method)",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",ADDRESS_FLAG,"Address (Flag)",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",ADDRESS_MATCH_SCORE,"Address (Match Score)",DOUBLE,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",CASE_ID_E,"Case ID",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",CASE_TYPE,"Case Type",VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",CHANNEL,Channel,VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",DELIVERY_GROUP,"Delivery Group",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",DELIVERY_GROUP_FLAG,"Delivery Group (Flag)",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",EXERCISE_SID_E,"Collection exercise ID",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",FLUSHED,Flushed,INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",HMO_UPRN_E,-,BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",HMO_UPRN_FLAG,"HMO UPRN (Flag)",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",LAUNCH_LANGUAGE,"Launch Language",VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",LOAD_TIMESTAMP,"Load Timestamp",TIMESTAMP,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",LSOA_CODE,"Lower Super Output Area",VARCHAR,true
QUESTIONNAIRE_20230330,"This table contains details of the questionare",ORIGIN,Origin,VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",OUTPUT_AREA_FLAG,"Output Area (Flag)",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",PERIOD,"Collection exercise period",INTEGER,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",QID_E,"Questionnaire ID",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",RECEIPT_AT,"Received DateTime",TIMESTAMP,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",REGION_CODE,"Region Code",VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",RESPONSE_ID_E,"Response ID",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",RU_REF,"Reporting unit reference",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",SCHEMA_NAME,"Collection exercise schema name",VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",STARTED_AT,"Started DateTime",TIMESTAMP,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",SUBMISSION_LANGUAGE,"Submission Language",VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",SUBMITTED_AT,"Submitted DateTime",TIMESTAMP,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",SURVEY_ID,"Survey ID",VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",TX_ID_E,"Transaction ID",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",TYPE,Type,VARCHAR,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",USER_ID_E,"User ID",BIGINT,false
QUESTIONNAIRE_20230330,"This table contains details of the questionare",VERSION,Version,VARCHAR,false
RELATIONSHIP_20230330,"This table contains details of the participants Relationships",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
RELATIONSHIP_20230330,"This table contains details of the participants Relationships",RELATED_RESIDENT_ID_E,"Related Resident ID",BIGINT,false
RELATIONSHIP_20230330,"This table contains details of the participants Relationships",RELATIONSHIP,Relationships,INTEGER,false
RELATIONSHIP_20230330,"This table contains details of the participants Relationships",RELATIONSHIP_RECORD_KEY,"Resident Record Key",INTEGER,false
RELATIONSHIP_20230330,"This table contains details of the participants Relationships",RESIDENT_ID_E,"Resident ID",BIGINT,false
RELATIONSHIP_20230330,"This table contains details of the participants Relationships",RESPONSE_ID_E,"Response ID",BIGINT,false
RESIDENT_20230330,"This table contains details of the participants residence",ACTIVITY_LAST_WEEK,"Activity last week",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ADULT_LIFESTAGE,"Adult lifestage",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",AGED_66_PLUS_EMPLOYMENT,"Employment status of persons aged 66 and over",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",AGED_66_PLUS_IND,"66+ Indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",AGE_ARRIVAL_UK,"Age of arrival in the UK",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ALTERNATIVE_ADDRESS_COUNTRY,"Second address (Outside UK)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ALTERNATIVE_ADDRESS_INDICATOR,"Second address (Indicator)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ALTERNATIVE_ADDRESS_LSOA,"Second Address (Lower Super Output area)",VARCHAR,true
RESIDENT_20230330,"This table contains details of the participants residence",ALTERNATIVE_ADDRESS_TYPE,"Second address type",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",AVAILABLE_FOR_WORK,"If a job became available now, could you start it within two weeks",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
RESIDENT_20230330,"This table contains details of the participants residence",AWAY_STUDENT_IND,"Students living away from home during term time indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",CE_ID_E,"Communal Establishment ID",BIGINT,false
RESIDENT_20230330,"This table contains details of the participants residence",CHILD_FAMILY_STATUS,"Child Family Status",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",CORNISH_IND,"Cornish identity indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",COUNTRY_OF_BIRTH,"Country of birth",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",DEPENDENT_CHILD_IND,"Dependent Child Indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",DISABILITY,"Long-term health problem or disability",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",DISTANCE_TO_WORK,"Distance travelled to work",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",DWELLING_ID_E,"Dwelling ID",BIGINT,false
RESIDENT_20230330,"This table contains details of the participants residence",ECONOMIC_ACTIVITY,"Economic Activity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ECONOMIC_CATEGORY,"Economic category",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ECONOMIC_INACTIVE_STATUS,"Employment inactivity last week (Indicator)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",EMPLOYED_LAST_WEEK_INDICATOR,"Employment group (Indicator)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",EMPLOYMENT_STATUS,"Employment status",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ENGLISH_LANGUAGE_PROFICIENCY,"English proficiency",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ENGLISH_PROFICIENCY,"English Language Proficiency",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",ENUMERATION_ADDRESS_LSOA,"Lower Super Output area of enumeration address",VARCHAR,true
RESIDENT_20230330,"This table contains details of the participants residence",ETHNIC05_20,"Ethnic group variable to the five high level categories",INTEGER,true
RESIDENT_20230330,"This table contains details of the participants residence",ETHNIC_GROUP,"Ethnic group",INTEGER,true
RESIDENT_20230330,"This table contains details of the participants residence",ETHNIC_GROUP_TB,"Ethnic group",INTEGER,true
RESIDENT_20230330,"This table contains details of the participants residence",FAMILY_ID_E,"Family ID",BIGINT,false
RESIDENT_20230330,"This table contains details of the participants residence",FAMILY_REFERENCE_PERSON_IND,"Family Reference Person Indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",FAMILY_STATUS,"Family Status",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",GENERATION,Generation,INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",HAS_EVER_WORKED,"Everworked indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",HEALTH_IN_GENERAL,"General health",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",HH_REFERENCE_PERSON_IND,"Household reference person indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",HIGHEST_QUALIFICATION,"Highest level of qualification",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",HOURS_PER_WEEK_WORKED,"Hours worked",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",HOUSEHOLD_ID_E,"Household ID",BIGINT,false
RESIDENT_20230330,"This table contains details of the participants residence",HOUSEHOLD_PERSON_NUMBER,"Household Person Number",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",INDUSTRY_BUSINESS_EXTN,"Industry of Business (extended manufacturing)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",INTENTION_TO_STAY,"Intention to stay",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",IN_FULL_TIME_EDUCATION,"Schoolchild or full-time student indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",IS_CARER,"Provision of unpaid care",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",IS_HH_TERM_TIME_ADDRESS,"Term time address (Indicator)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",JAIN_IND,"Jain identity indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",JEWISH_IND,"Jewish identity indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",LEGAL_PARTNERSHIP_STATUS,"Marital Status collapsed",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",LGBTQ_IND,"LGBTQ+ Indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",LIVING_ARRANGEMENTS,"Living arrangements",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",LOOKING_FOR_WORK,"In the last four weeks, were you actively looking for any kind of paid work",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MAIN_LANGUAGE,"Main language",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MAIN_LANGUAGE_DETAILED,"Main language (detailed)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MARITAL_STATUS,"Marriage and civil partnership status (Derived)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MIGRANT_IND,"Migrant indicator",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MIGRANT_ORIGIN_COUNTRY,"Migrant country of origin",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MIGRANT_ORIGIN_LSOA,"Specifying the Lower super output area of migrant origin",VARCHAR,true
RESIDENT_20230330,"This table contains details of the participants residence",MONTH_OF_ARRIVAL_IN_COUNTRY,"Month of arrival in UK",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MOVING_GROUP_NUMBER,"Moving group number",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MOVING_GROUP_REFERENCE_PERSON,"Moving group reference person",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MOVING_GROUP_SIZE,"Number of people in a person&amp;rsquo;s moving group",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",MULTI_PASSPORTS,"Multiple passports held",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NATIONAL_IDENTITY_ALL,"National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NATIONAL_IDENTITY_ROW,"National identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NATIONAL_IDENTITY_UK,"National identity (UK)",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_BRITISH,"British National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_CORNISH,"Cornish National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_ENGLISH,"English National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_IRISH,"Irish national identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_NORTHERN_IRISH,"Northern Irish National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_OTHER,"Other National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_SCOTTISH,"Scottish National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_ULSTER_SCOTS,"Ulster-Scots National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NAT_ID_WELSH,"Welsh National Identity",INTEGER,false
RESIDENT_20230330,"This table contains details of the participants residence",NON_TERMTIME_LSOA,"Lower Super Output area of non term-time location",VARCHAR,true
RESIDENT_20230330,"This table contains details of the participants residence",NS_SEC,"National Statistics Socio-Economic Classification",DOUBLE,false
RESIDENT_20230330,"This table contains details of the participants residence",OCCUPATION_FLAT,"Occupation (Flat)",INTEGER,false
