window,window_role,feature_family,outcome,outcome_role,group_label,pre_rows,pre_weight,pre_rate,pre_event_weight,unwinding_rows,unwinding_weight,unwinding_rate,unwinding_event_weight,pre_rank_high,unwinding_rank_high,rank_delta,rate_change
core_aug_oct_2023,primary,pov_band,medicaid_exit_to_uninsured_next,benchmark_harm,pov_4_plus,5481,49909168.73317753,0.00090168,45001.9499388,2707,29321355.96130432,0.00458803,134527.2972578,3,2,-1.0,0.00368635
core_aug_oct_2023,primary,pov_band,medicaid_exit_to_uninsured_next,benchmark_harm,pov_lt_1,16610,139240413.59695196,0.00123429,171863.1731577,7284,65614791.34847391,0.00065346,42876.6173743,2,4,2.0,-0.00058083
core_aug_oct_2023,primary,snap_group,persistent_uninsured_h2,primary_harm,snap_no,30033,261726521.72547776,0.00117712,308083.7481671,14437,139131433.82248855,0.00379841,528478.134535,1,1,0.0,0.00262129
core_aug_oct_2023,primary,snap_group,persistent_uninsured_h2,primary_harm,snap_yes,18032,153540483.72606552,0.00094529,145140.4303164,7337,68319068.25926861,0.00117104,80004.0862128,2,2,0.0,0.00022575
core_aug_oct_2023,primary,snap_group,broad_exit_persistent_uninsured_h2,primary_harm,snap_no,30033,261726521.72547776,0.00117712,308083.7481671,14437,139131433.82248855,0.00387434,539042.554336,1,1,0.0,0.00269722
core_aug_oct_2023,primary,snap_group,broad_exit_persistent_uninsured_h2,primary_harm,snap_yes,18032,153540483.72606552,0.00094529,145140.4303164,7337,68319068.25926861,0.00117104,80004.0862128,2,2,0.0,0.00022575
core_aug_oct_2023,primary,snap_group,broad_exit_resolved_insured_h2,contrast_resolution,snap_no,30033,261726521.72547776,0.00239951,628016.2916667,14437,139131433.82248855,0.0066708,928118.1116708,1,1,0.0,0.00427129
core_aug_oct_2023,primary,snap_group,broad_exit_resolved_insured_h2,contrast_resolution,snap_yes,18032,153540483.72606552,0.00083652,128439.8084273,7337,68319068.25926861,0.00166984,114081.8687578,2,2,0.0,0.00083332
core_aug_oct_2023,primary,snap_group,medicaid_exit_to_uninsured_next,benchmark_harm,snap_no,30091,262431781.0119213,0.00117396,308083.7481671,14476,139666118.32239902,0.0041627,581387.463246,1,1,0.0,0.00298874
core_aug_oct_2023,primary,snap_group,medicaid_exit_to_uninsured_next,benchmark_harm,snap_yes,18050,153756179.74958023,0.00096528,148418.0963296,7351,68474391.0207837,0.00116838,80004.0862128,2,2,0.0,0.0002031
mature_jun_oct_2023,sensitivity,age_band,persistent_uninsured_h2,primary_harm,age_0_17,30750,283823348.2994855,0.00138352,392674.500152,13221,137524458.8419831,0.00369981,508814.6330931,3,2,-1.0,0.00231629
