TEHC_ST,MONTHCODE,n_lag_medicaid,medicaid_exit_rate,exit_to_uninsured_rate,valid_cell_30,valid_cell_50
23,2,31,0.0,0.0,True,False
23,3,31,0.0,0.0,True,False
23,4,31,0.0,0.0,True,False
23,5,31,0.0,0.0,True,False
23,6,32,0.0,0.0,True,False
23,7,32,0.0,0.0,True,False
23,8,32,0.0,0.0,True,False
23,9,32,0.0,0.0,True,False
23,10,32,0.15625,0.09375,True,False
23,11,28,0.0,0.0,False,False
23,12,28,0.0,0.0,False,False
24,2,135,0.0,0.0,True,True
24,3,135,0.014814814814814815,0.0,True,True
24,4,133,0.0,0.0,True,True
24,5,134,0.007462686567164179,0.0,True,True
24,6,134,0.0,0.0,True,True
24,7,134,0.0,0.0,True,True
24,8,132,0.0,0.0,True,True
24,9,131,0.0,0.0,True,True
24,10,132,0.030303030303030304,0.022727272727272728,True,True
24,11,128,0.0,0.0,True,True
24,12,129,0.015503875968992248,0.0,True,True
25,2,162,0.0,0.0,True,True
25,3,161,0.006211180124223602,0.0,True,True
25,4,160,0.0125,0.00625,True,True
25,5,156,0.0,0.0,True,True
25,6,156,0.00641025641025641,0.0,True,True
25,7,155,0.0,0.0,True,True
25,8,155,0.0,0.0,True,True
25,9,156,0.01282051282051282,0.0,True,True
25,10,154,0.0,0.0,True,True
25,11,154,0.0,0.0,True,True
25,12,152,0.006578947368421052,0.0,True,True
26,2,209,0.004784688995215311,0.0,True,True
26,3,209,0.004784688995215311,0.0,True,True
26,4,212,0.0047169811320754715,0.0,True,True
26,5,206,0.0,0.0,True,True
26,6,206,0.0048543689320388345,0.0,True,True
26,7,205,0.00975609756097561,0.00975609756097561,True,True
26,8,204,0.004901960784313725,0.0,True,True
26,9,205,0.00975609756097561,0.0,True,True
26,10,204,0.0,0.0,True,True
26,11,203,0.0049261083743842365,0.0,True,True
26,12,201,0.029850746268656716,0.01990049751243781,True,True
27,2,115,0.017391304347826087,0.008695652173913044,True,True
27,3,113,0.0,0.0,True,True
27,4,111,0.009009009009009009,0.0,True,True
27,5,108,0.0,0.0,True,True
27,6,107,0.07476635514018691,0.07476635514018691,True,True
27,7,107,0.04672897196261682,0.037383177570093455,True,True
27,8,104,0.0,0.0,True,True
27,9,109,0.009174311926605505,0.0,True,True
27,10,109,0.0,0.0,True,True
27,11,107,0.009345794392523364,0.0,True,True
27,12,106,0.0,0.0,True,True
28,2,143,0.0,0.0,True,True
28,3,140,0.0,0.0,True,True
28,4,140,0.0,0.0,True,True
28,5,138,0.0,0.0,True,True
28,6,139,0.0,0.0,True,True
28,7,139,0.02158273381294964,0.014388489208633094,True,True
28,8,133,0.007518796992481203,0.0,True,True
28,9,133,0.0,0.0,True,True
28,10,132,0.0,0.0,True,True
28,11,133,0.0,0.0,True,True
28,12,133,0.0,0.0,True,True
29,2,115,0.008695652173913044,0.0,True,True
29,3,113,0.017699115044247787,0.017699115044247787,True,True
29,4,110,0.0,0.0,True,True
29,5,109,0.0,0.0,True,True
