dataset,reference_year,stress_test,window,window_role,months_requested,months_used,months_used_count,min_state_cells_per_used_month,exposure_family,exposure_variant,exposure_kind,exposure_role,alignment,outcome,outcome_kind,outcome_label,support_rows,support_weight,weighted_corr,high_minus_low,signed_corr,signed_high_minus_low,direction_flag,support_flag
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,49,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag2,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",13721,131518143.66,-0.0624,-0.0003,0.0624,0.0003,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag2,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",20994,200716273.73,-0.0038,0.0019,-0.0038,0.0019,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,lead1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,-0.0823,-0.0012,0.0823,0.0012,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,lead1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,-0.0824,-0.0012,0.0824,0.0012,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,lead1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,-0.0873,-0.0014,0.0873,0.0014,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,lead1,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,-0.1869,-0.0024,0.1869,0.0024,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,lead1,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,-0.057,0.0001,-0.057,0.0001,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,same,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,-0.069,-0.001,-0.069,-0.001,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,same,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,-0.0621,-0.001,-0.0621,-0.001,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,same,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,-0.0598,-0.001,-0.0598,-0.001,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,same,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,0.0103,-0.0003,0.0103,-0.0003,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,same,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,-0.0633,-0.0036,0.0633,0.0036,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,lag1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21726,207089597.15,0.0145,-0.0001,0.0145,-0.0001,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,lag1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21673,206399589.89,0.0173,-0.0001,0.0173,-0.0001,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,manual_renewal_burden,renewal_form_rate,legacy_comparison,legacy_comparison,lag1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21673,206399589.89,0.0225,0.0,0.0225,0.0,expected,True
