exposure_family,exposure_variant,alignment,outcome,pre_2021_contrast,pre_2022_contrast,unwinding_2023_contrast,max_pre_abs_contrast,same_direction_big_pre,falsification_pass_outcome
ex_parte_renewal_relief,ex_parte_renewal_rate,lead1,medicaid_exit_to_uninsured_next,-0.0012,-0.0006,-0.0013,0.0012,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,lag2,medicaid_exit_next,-0.0005,0.002,0.0016,0.002,False,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag2,medicaid_exit_to_uninsured_next,-0.0014,-0.0005,-0.001,0.0014,False,False
manual_renewal_burden,renewal_form_rate,same,medicaid_exit_next,-0.0006,-0.0008,0.0017,0.0008,False,True
manual_renewal_burden,renewal_form_rate,same,medicaid_exit_to_uninsured_next,0.0004,0.0,0.0016,0.0004,False,True
manual_renewal_burden,renewal_form_rate,lag1,medicaid_exit_next,-0.0008,-0.0007,0.0016,0.0008,False,True
manual_renewal_burden,renewal_form_rate,lag1,medicaid_exit_to_uninsured_next,0.0004,0.0002,0.0018,0.0004,False,True
manual_renewal_burden,renewal_form_rate,lead1,medicaid_exit_next,-0.0007,-0.0014,0.0014,0.0014,False,False
manual_renewal_burden,renewal_form_rate,lead1,medicaid_exit_to_uninsured_next,0.0005,0.0001,0.0014,0.0005,False,True
manual_renewal_burden,renewal_form_rate,lag2,medicaid_exit_next,-0.001,-0.0012,-0.0013,0.0012,True,False
manual_renewal_burden,renewal_form_rate,lag2,medicaid_exit_to_uninsured_next,0.0002,-0.0002,0.0007,0.0002,False,True
formal_ineligibility_channel,ineligible_rate,same,medicaid_exit_next,-0.0002,-0.002,0.0011,0.002,False,False
formal_ineligibility_channel,ineligible_rate,same,medicaid_exit_to_uninsured_next,0.0015,-0.0006,0.0024,0.0015,False,True
formal_ineligibility_channel,ineligible_rate,lag1,medicaid_exit_next,-0.0006,-0.0019,0.0028,0.0019,False,True
formal_ineligibility_channel,ineligible_rate,lag1,medicaid_exit_to_uninsured_next,0.0008,-0.0001,0.0021,0.0008,False,True
formal_ineligibility_channel,ineligible_rate,lead1,medicaid_exit_next,-0.0001,-0.0019,0.0008,0.0019,False,False
formal_ineligibility_channel,ineligible_rate,lead1,medicaid_exit_to_uninsured_next,0.0015,-0.0005,0.0019,0.0015,False,True
formal_ineligibility_channel,ineligible_rate,lag2,medicaid_exit_next,-0.0006,-0.0021,0.0016,0.0021,False,False
formal_ineligibility_channel,ineligible_rate,lag2,medicaid_exit_to_uninsured_next,0.0008,-0.0001,0.0012,0.0008,False,True
