exposure_family,exposure_variant,alignment,outcome,pre_2021_contrast,pre_2022_contrast,unwinding_2023_contrast,max_pre_abs_contrast,same_direction_big_pre,falsification_pass_outcome
composite_burden_index,backlog_form_index,lag1,persistent_uninsured_h2,0.0003,0.0002,0.0014,0.0003,False,True
composite_burden_index,backlog_form_index,lag1,broad_exit_resolved_insured_h2,-0.0012,-0.0013,-0.005,0.0013,False,True
composite_burden_index,backlog_form_index,lead1,medicaid_exit_to_uninsured_next,0.001,0.0004,0.0026,0.001,False,True
composite_burden_index,backlog_form_index,lead1,persistent_uninsured_h2,0.001,0.0004,0.0019,0.001,False,True
composite_burden_index,backlog_form_index,lead1,broad_exit_resolved_insured_h2,-0.0002,-0.0016,-0.0035,0.0016,False,True
composite_burden_index,backlog_form_index,lag2,medicaid_exit_to_uninsured_next,-0.0,0.0006,0.0013,0.0006,False,True
composite_burden_index,backlog_form_index,lag2,persistent_uninsured_h2,0.0001,0.0006,0.0008,0.0006,False,True
composite_burden_index,backlog_form_index,lag2,broad_exit_resolved_insured_h2,-0.0015,-0.0012,-0.0033,0.0015,False,True
composite_burden_index,full_burden_index,same,medicaid_exit_to_uninsured_next,0.0011,0.001,0.0008,0.0011,True,False
composite_burden_index,full_burden_index,same,persistent_uninsured_h2,0.0011,0.001,0.0002,0.0011,True,False
composite_burden_index,full_burden_index,same,broad_exit_resolved_insured_h2,-0.0003,-0.0014,-0.0051,0.0014,False,True
composite_burden_index,full_burden_index,lag1,medicaid_exit_to_uninsured_next,0.0009,0.0006,0.0016,0.0009,False,True
composite_burden_index,full_burden_index,lag1,persistent_uninsured_h2,0.0009,0.0006,0.001,0.0009,False,True
composite_burden_index,full_burden_index,lag1,broad_exit_resolved_insured_h2,0.0002,-0.0014,-0.0009,0.0014,False,False
composite_burden_index,full_burden_index,lead1,medicaid_exit_to_uninsured_next,0.0012,0.001,0.0008,0.0012,True,False
composite_burden_index,full_burden_index,lead1,persistent_uninsured_h2,0.0012,0.001,0.0002,0.0012,True,False
composite_burden_index,full_burden_index,lead1,broad_exit_resolved_insured_h2,-0.0002,-0.0014,-0.005,0.0014,False,True
composite_burden_index,full_burden_index,lag2,medicaid_exit_to_uninsured_next,0.0011,0.0007,0.0006,0.0011,True,False
composite_burden_index,full_burden_index,lag2,persistent_uninsured_h2,0.0011,0.0007,-0.0,0.0011,True,False
composite_burden_index,full_burden_index,lag2,broad_exit_resolved_insured_h2,0.0005,-0.0012,-0.0038,0.0012,False,True
