state,county_fips,county_name,rows,years_present,min_year,max_year,total_enrollment,min_enrollment,table1_missing_years,treatment_constructible_years,suppression_or_missing_any,drake_supplement_exclusion_flag,drake_supplement_exclusion_reason,included_drake_harmonized_sample,missing_crosswalk_flag_any,missing_current_plan_flag_any,missing_premium_flag_any,missing_county_mapping_flag_any,all_three_years,table1_complete_all_years,treatment_constructible_all_years,low_enrollment_rank,candidate_extra_if_forcing_to_2159_by_low_enrollment,candidate_discrepancy_reason
AL,01113,,3,3,2022,2024,9490.0,2118.0,0,3,False,False,,True,False,False,False,False,True,True,True,1666,False,included_by_current_sample_rule
AL,01115,,3,3,2022,2024,14484.0,4007.0,0,3,False,False,,True,False,False,False,False,True,True,True,1812,False,included_by_current_sample_rule
AL,01117,,3,3,2022,2024,33420.0,9771.0,0,3,False,False,,True,False,False,False,False,True,True,True,2006,False,included_by_current_sample_rule
AL,01119,,3,3,2022,2024,2007.0,424.0,0,3,False,False,,True,False,False,False,False,True,True,True,721,False,included_by_current_sample_rule
AL,01121,,3,3,2022,2024,12158.0,2822.0,0,3,False,False,,True,False,False,False,False,True,True,True,1751,False,included_by_current_sample_rule
AL,01123,,3,3,2022,2024,6324.0,1708.0,0,3,False,False,,True,False,False,False,False,True,True,True,1442,False,included_by_current_sample_rule
AL,01125,,3,3,2022,2024,26958.0,7064.0,0,3,False,False,,True,False,False,False,False,True,True,True,1976,False,included_by_current_sample_rule
AL,01127,,3,3,2022,2024,9968.0,2364.0,0,3,False,False,,True,False,False,False,False,True,True,True,1684,False,included_by_current_sample_rule
AL,01129,,3,3,2022,2024,3050.0,760.0,0,3,False,False,,True,False,False,False,False,True,True,True,997,False,included_by_current_sample_rule
AL,01131,,3,3,2022,2024,1568.0,428.0,0,3,False,False,,True,False,False,False,False,True,True,True,575,False,included_by_current_sample_rule
AL,01133,,3,3,2022,2024,3789.0,1050.0,0,3,False,False,,True,False,False,False,False,True,True,True,1140,False,included_by_current_sample_rule
AR,05001,,3,3,2022,2024,2253.0,565.0,0,3,False,False,,True,False,False,False,False,True,True,True,780,False,included_by_current_sample_rule
AR,05003,,3,3,2022,2024,2270.0,562.0,0,3,False,False,,True,False,False,False,False,True,True,True,788,False,included_by_current_sample_rule
AR,05005,,3,3,2022,2024,5593.0,1523.0,0,3,False,False,,True,False,False,False,False,True,True,True,1393,False,included_by_current_sample_rule
AR,05007,,3,3,2022,2024,37323.0,10156.0,0,3,False,False,,True,False,False,False,False,True,True,True,2020,False,included_by_current_sample_rule
AR,05009,,3,3,2022,2024,4965.0,1306.0,0,3,False,False,,True,False,False,False,False,True,True,True,1339,False,included_by_current_sample_rule
AR,05011,,3,3,2022,2024,945.0,220.0,1,3,True,False,,True,False,False,False,False,True,False,True,305,False,missing_or_suppressed_table1_outcome
