year,state,rank,issuer_concept,variant_name,current_plan_lookup_rule,failure_reason_if_not_turnover,plan_pair_rows
2022.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,20
2022.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,5
2022.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,46
2022.0,WV,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,40
2022.0,WV,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,15
2022.0,WV,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,55
2022.0,WY,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,1
2022.0,WY,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,22
2022.0,WY,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,23
2023.0,AK,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,30
2023.0,AK,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,30
2023.0,AL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,46
2023.0,AL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,21
2023.0,AL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,6
2023.0,AL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,61
2023.0,AR,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,75
2023.0,AR,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,75
2023.0,AZ,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,12
2023.0,AZ,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,3
2023.0,AZ,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,7
2023.0,AZ,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,8
2023.0,DE,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,3
2023.0,DE,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,3
2023.0,FL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2023.0,FL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,17
2023.0,FL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,1
2023.0,FL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,44
2023.0,FL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,8
2023.0,FL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,20
2023.0,FL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,39
2023.0,GA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,10
2023.0,GA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,49
2023.0,GA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,100
2023.0,GA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,13
2023.0,GA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,50
2023.0,GA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,96
2023.0,HI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2023.0,HI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2023.0,IA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,81
2023.0,IA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,18
2023.0,IA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,9
2023.0,IA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,90
2023.0,IL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,102
2023.0,IL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,102
2023.0,IN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,13
2023.0,IN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,17
2023.0,IN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,21
2023.0,IN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,41
2023.0,IN,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,28
2023.0,IN,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,64
2023.0,KS,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,89
2023.0,KS,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,16
2023.0,KS,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,75
2023.0,KS,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,30
2023.0,LA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,58
2023.0,LA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,6
2023.0,LA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,36
2023.0,LA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,28
2023.0,MI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,59
2023.0,MI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,24
2023.0,MI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,1
2023.0,MI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,58
2023.0,MI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,24
2023.0,MO,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,47
2023.0,MO,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,68
2023.0,MO,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,41
2023.0,MO,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,74
2023.0,MS,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,55
2023.0,MS,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,27
2023.0,MS,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,55
2023.0,MS,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,27
2023.0,MT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,56
2023.0,MT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,56
2023.0,NC,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,21
2023.0,NC,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,48
2023.0,NC,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,31
2023.0,NC,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,38
2023.0,NC,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,17
2023.0,NC,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,45
2023.0,ND,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,37
2023.0,ND,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,16
2023.0,ND,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,53
2023.0,NE,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,93
2023.0,NE,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,93
2023.0,NH,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,10
2023.0,NH,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,10
2023.0,OH,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,4
2023.0,OH,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,14
2023.0,OH,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,5
2023.0,OH,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,65
2023.0,OH,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,9
2023.0,OH,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,10
2023.0,OH,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,69
2023.0,OK,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2023.0,OK,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,56
2023.0,OK,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,16
2023.0,OK,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2023.0,OK,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,56
2023.0,OK,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,16
2023.0,OR,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,36
2023.0,OR,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,36
2023.0,SC,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,12
2023.0,SC,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,34
2023.0,SC,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,12
2023.0,SC,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,34
2023.0,SD,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,24
2023.0,SD,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,42
2023.0,SD,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,26
2023.0,SD,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,40
2023.0,TN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,86
2023.0,TN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,9
2023.0,TN,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,78
2023.0,TN,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,17
2023.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,7
2023.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,77
2023.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,2
2023.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,168
2023.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,9
2023.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,24
2023.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,1
2023.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,220
2023.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,13
2023.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,12
2023.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,2
