transition,year,state,issuer_concept,county_years,across_county_years,across_share,affected_plan_pair_rows
2023_to_2024,2024,DE,crosswalk_issuer_only,3,0,0.0,0
2023_to_2024,2024,FL,crosswalk_issuer_only,67,4,0.05970149253731343,4
2023_to_2024,2024,GA,crosswalk_issuer_only,159,0,0.0,0
2023_to_2024,2024,HI,crosswalk_issuer_only,5,0,0.0,0
2023_to_2024,2024,IA,crosswalk_issuer_only,99,0,0.0,0
2023_to_2024,2024,IL,crosswalk_issuer_only,102,0,0.0,0
2023_to_2024,2024,IN,crosswalk_issuer_only,92,6,0.06521739130434782,6
2023_to_2024,2024,KS,crosswalk_issuer_only,105,0,0.0,0
2023_to_2024,2024,LA,crosswalk_issuer_only,64,0,0.0,0
2023_to_2024,2024,MI,crosswalk_issuer_only,83,0,0.0,0
2023_to_2024,2024,MO,crosswalk_issuer_only,115,0,0.0,0
2023_to_2024,2024,MS,crosswalk_issuer_only,82,0,0.0,0
2023_to_2024,2024,MT,crosswalk_issuer_only,56,0,0.0,0
2023_to_2024,2024,NC,crosswalk_issuer_only,100,0,0.0,0
2023_to_2024,2024,ND,crosswalk_issuer_only,53,0,0.0,0
2023_to_2024,2024,NE,crosswalk_issuer_only,93,0,0.0,0
2023_to_2024,2024,NH,crosswalk_issuer_only,10,0,0.0,0
2023_to_2024,2024,OH,crosswalk_issuer_only,88,0,0.0,0
2023_to_2024,2024,OK,crosswalk_issuer_only,77,0,0.0,0
2023_to_2024,2024,OR,crosswalk_issuer_only,36,0,0.0,0
2023_to_2024,2024,SC,crosswalk_issuer_only,46,0,0.0,0
2023_to_2024,2024,SD,crosswalk_issuer_only,66,0,0.0,0
2023_to_2024,2024,TN,crosswalk_issuer_only,95,0,0.0,0
2023_to_2024,2024,TX,crosswalk_issuer_only,254,3,0.011811023622047244,6
2023_to_2024,2024,UT,crosswalk_issuer_only,29,0,0.0,0
2023_to_2024,2024,VA,crosswalk_issuer_only,133,0,0.0,0
2023_to_2024,2024,WI,crosswalk_issuer_only,72,1,0.013888888888888888,2
2023_to_2024,2024,WV,crosswalk_issuer_only,55,0,0.0,0
2023_to_2024,2024,WY,crosswalk_issuer_only,23,0,0.0,0
2023_to_2024,2024,ALL,plan_panel_issuer_only,2449,14,0.0057166190281747655,18
2023_to_2024,2024,AK,plan_panel_issuer_only,30,0,0.0,0
2023_to_2024,2024,AL,plan_panel_issuer_only,67,0,0.0,0
2023_to_2024,2024,AR,plan_panel_issuer_only,75,0,0.0,0
2023_to_2024,2024,AZ,plan_panel_issuer_only,15,0,0.0,0
2023_to_2024,2024,DE,plan_panel_issuer_only,3,0,0.0,0
2023_to_2024,2024,FL,plan_panel_issuer_only,67,4,0.05970149253731343,4
2023_to_2024,2024,GA,plan_panel_issuer_only,159,0,0.0,0
2023_to_2024,2024,HI,plan_panel_issuer_only,5,0,0.0,0
2023_to_2024,2024,IA,plan_panel_issuer_only,99,0,0.0,0
2023_to_2024,2024,IL,plan_panel_issuer_only,102,0,0.0,0
2023_to_2024,2024,IN,plan_panel_issuer_only,92,6,0.06521739130434782,6
2023_to_2024,2024,KS,plan_panel_issuer_only,105,0,0.0,0
2023_to_2024,2024,LA,plan_panel_issuer_only,64,0,0.0,0
2023_to_2024,2024,MI,plan_panel_issuer_only,83,0,0.0,0
2023_to_2024,2024,MO,plan_panel_issuer_only,115,0,0.0,0
2023_to_2024,2024,MS,plan_panel_issuer_only,82,0,0.0,0
2023_to_2024,2024,MT,plan_panel_issuer_only,56,0,0.0,0
2023_to_2024,2024,NC,plan_panel_issuer_only,100,0,0.0,0
2023_to_2024,2024,ND,plan_panel_issuer_only,53,0,0.0,0
2023_to_2024,2024,NE,plan_panel_issuer_only,93,0,0.0,0
2023_to_2024,2024,NH,plan_panel_issuer_only,10,0,0.0,0
2023_to_2024,2024,OH,plan_panel_issuer_only,88,0,0.0,0
2023_to_2024,2024,OK,plan_panel_issuer_only,77,0,0.0,0
2023_to_2024,2024,OR,plan_panel_issuer_only,36,0,0.0,0
2023_to_2024,2024,SC,plan_panel_issuer_only,46,0,0.0,0
2023_to_2024,2024,SD,plan_panel_issuer_only,66,0,0.0,0
2023_to_2024,2024,TN,plan_panel_issuer_only,95,0,0.0,0
2023_to_2024,2024,TX,plan_panel_issuer_only,254,3,0.011811023622047244,6
2023_to_2024,2024,UT,plan_panel_issuer_only,29,0,0.0,0
2023_to_2024,2024,VA,plan_panel_issuer_only,133,0,0.0,0
2023_to_2024,2024,WI,plan_panel_issuer_only,72,1,0.013888888888888888,2
2023_to_2024,2024,WV,plan_panel_issuer_only,55,0,0.0,0
2023_to_2024,2024,WY,plan_panel_issuer_only,23,0,0.0,0
2023_to_2024,2024,ALL,plan_id_prefix,2449,14,0.0057166190281747655,18
2023_to_2024,2024,AK,plan_id_prefix,30,0,0.0,0
2023_to_2024,2024,AL,plan_id_prefix,67,0,0.0,0
2023_to_2024,2024,AR,plan_id_prefix,75,0,0.0,0
2023_to_2024,2024,AZ,plan_id_prefix,15,0,0.0,0
2023_to_2024,2024,DE,plan_id_prefix,3,0,0.0,0
2023_to_2024,2024,FL,plan_id_prefix,67,4,0.05970149253731343,4
2023_to_2024,2024,GA,plan_id_prefix,159,0,0.0,0
2023_to_2024,2024,HI,plan_id_prefix,5,0,0.0,0
2023_to_2024,2024,IA,plan_id_prefix,99,0,0.0,0
2023_to_2024,2024,IL,plan_id_prefix,102,0,0.0,0
2023_to_2024,2024,IN,plan_id_prefix,92,6,0.06521739130434782,6
2023_to_2024,2024,KS,plan_id_prefix,105,0,0.0,0
2023_to_2024,2024,LA,plan_id_prefix,64,0,0.0,0
2023_to_2024,2024,MI,plan_id_prefix,83,0,0.0,0
2023_to_2024,2024,MO,plan_id_prefix,115,0,0.0,0
2023_to_2024,2024,MS,plan_id_prefix,82,0,0.0,0
2023_to_2024,2024,MT,plan_id_prefix,56,0,0.0,0
2023_to_2024,2024,NC,plan_id_prefix,100,0,0.0,0
2023_to_2024,2024,ND,plan_id_prefix,53,0,0.0,0
2023_to_2024,2024,NE,plan_id_prefix,93,0,0.0,0
2023_to_2024,2024,NH,plan_id_prefix,10,0,0.0,0
2023_to_2024,2024,OH,plan_id_prefix,88,0,0.0,0
2023_to_2024,2024,OK,plan_id_prefix,77,0,0.0,0
2023_to_2024,2024,OR,plan_id_prefix,36,0,0.0,0
2023_to_2024,2024,SC,plan_id_prefix,46,0,0.0,0
2023_to_2024,2024,SD,plan_id_prefix,66,0,0.0,0
2023_to_2024,2024,TN,plan_id_prefix,95,0,0.0,0
2023_to_2024,2024,TX,plan_id_prefix,254,3,0.011811023622047244,6
2023_to_2024,2024,UT,plan_id_prefix,29,0,0.0,0
2023_to_2024,2024,VA,plan_id_prefix,133,0,0.0,0
2023_to_2024,2024,WI,plan_id_prefix,72,1,0.013888888888888888,2
2023_to_2024,2024,WV,plan_id_prefix,55,0,0.0,0
2023_to_2024,2024,WY,plan_id_prefix,23,0,0.0,0
