year,state,plan_count,ehb_percent_missing_count,non_ehb_positive_count,mean_non_ehb_residual,p95_non_ehb_residual,max_non_ehb_residual
2022,AR,1667,0,1667,3.834092181163793,19.58650700000004,20.326412000000005
2022,AZ,277,0,68,4.821253725631771,22.985957999999982,26.53360799999996
2022,DE,9,0,3,10.145312666666692,30.43593800000008,30.43593800000008
2022,FL,2724,0,586,3.218633922173272,20.151294749999956,26.217930000000024
2022,GA,5301,0,2107,5.406459172231662,19.24858000000006,24.68299300000001
2022,HI,20,0,20,3.942395750000003,5.877720000000011,5.877720000000011
2022,IA,580,0,0,0.0,0.0,0.0
2022,IL,941,0,941,3.676628387885232,20.253629999999987,28.886154999999974
2022,IN,1967,0,918,6.727939007625826,20.15738399999998,21.791903999999988
2022,KS,1511,0,455,5.579567269358053,19.244432000000018,20.082160000000044
2022,LA,689,0,141,3.926062552975334,19.331379000000084,23.969535999999948
2022,MI,1431,0,214,2.9455047861635166,30.452951999999982,37.54728899999992
2022,MO,2086,0,534,4.296502648609775,18.70342500000004,20.201349999999934
2022,MS,1638,0,550,5.957407592185583,21.17455249999986,22.81567999999993
2022,MT,458,0,112,0.012520960698701872,0.0524000000000342,0.0524000000000342
2022,NC,2497,0,384,2.969632358830602,25.71293400000002,29.968674000000078
2022,ND,335,0,0,0.0,0.0,0.0
2022,NE,2226,0,223,2.004399561545376,18.87880000000007,29.083752000000004
2022,NH,185,0,75,4.517465837837837,27.386099999999953,27.665063999999973
2022,OH,2989,0,692,2.5050416025426583,15.235740000000021,17.315179999999998
2022,OK,490,0,43,1.1274202836734688,14.269645999999966,21.92177399999997
2022,OR,497,0,497,1.2055653319919517,2.4211199999999735,7.122830000000022
2022,SC,1081,0,307,4.991751768732653,22.71568000000002,27.234272000000033
2022,SD,480,0,0,0.0,0.0,0.0
2022,TN,2414,0,549,4.9224480840928,22.860572000000047,26.114850000000047
2022,TX,4935,0,1871,5.201371496453898,23.38926600000002,26.021638000000053
2022,UT,404,0,122,1.224407504950497,5.511366000000066,22.301541999999927
2022,VA,1215,0,167,0.8495412469135795,4.040451999999959,19.12892000000005
2022,WI,1507,0,496,3.0642696390179145,21.876120000000014,28.219800000000077
2022,WV,495,0,220,5.807896369696968,27.565439999999967,29.170091999999954
2022,WY,184,0,0,0.0,0.0,0.0
2023,AK,86,0,86,4.365464139534882,4.725214999999935,4.725214999999935
2023,AL,509,0,81,3.484410310412571,21.40701200000001,26.711080000000038
2023,AR,1875,0,975,4.45651452000001,20.334405000000004,21.511034999999993
2023,AZ,315,0,57,3.424634911111108,20.908848000000035,30.166133000000002
2023,DE,24,0,3,3.9307787500000018,31.446230000000014,31.446230000000014
2023,FL,2774,0,477,2.657111279379955,20.091371699999954,41.28668000000005
2023,GA,5640,0,1658,4.34257717358156,19.546824000000015,29.450212999999962
2023,HI,25,0,25,3.1739427999999976,6.00227799999999,6.00227799999999
2023,IA,630,0,0,0.0,0.0,0.0
2023,IL,1160,0,1160,3.584542624137923,18.453008399999945,55.137516000000005
2023,IN,2180,0,644,3.9711563701834893,17.839152000000013,20.601945000000057
2023,KS,1630,0,385,4.42631485398774,19.772793900000057,22.64002800000003
2023,LA,998,0,230,4.530758913827648,20.68558265000007,24.32883199999992
2023,MI,1635,0,306,1.6104854238532076,23.115707999999984,30.805506000000037
2023,MO,2223,0,469,3.849049133603236,19.532276000000024,26.166480000000092
2023,MS,1650,0,599,5.8625788842424225,21.220254999999952,23.736778999999956
2023,MT,638,0,0,0.0,0.0,0.0
2023,NC,3041,0,429,2.4818819000328864,24.572088000000008,34.9516799999999
2023,ND,473,0,0,0.0,0.0,0.0
2023,NE,2241,0,930,4.072492097724217,23.098644000000036,28.828585999999973
2023,NH,250,0,100,3.544669240000005,20.316527000000008,21.03986500000002
2023,OH,3071,0,736,2.5620633311624874,15.66464000000002,27.092156000000045
2023,OK,752,0,88,1.9339416210106377,22.707532999999952,25.554840000000013
2023,OR,493,0,493,1.1606888843813647,2.491959999999949,3.6680000000000064
2023,SC,992,0,227,3.8943290312499967,21.70091000000002,26.23890499999993
2023,SD,584,0,0,0.0,0.0,0.0
2023,TN,2859,0,453,3.0924294001399018,19.759645499999923,22.50035200000002
2023,TX,4433,0,559,2.837048576810283,23.827481999999954,31.58646699999997
2023,UT,410,0,187,1.339134158536584,4.726949999999988,7.203560000000039
2023,VA,1618,0,152,0.33992673423980113,4.175877999999898,4.769164999999987
2023,WI,2093,0,735,3.7539907204969047,27.180708000000095,37.16991500000006
2023,WV,495,0,220,5.834896597979798,28.785283999999933,30.90599599999996
2023,WY,207,0,0,0.0,0.0,0.0
2024,AK,86,0,86,5.610691290697698,6.263674000000151,6.263674000000151
2024,AL,797,0,210,5.480541801756592,22.747363399999983,27.204606999999896
2024,AR,1875,0,1875,4.026447760000008,19.396732999999983,20.064859999999953
2024,AZ,273,0,49,3.3355659926739962,19.473839999999996,41.58785999999998
2024,DE,51,0,15,7.010590882352945,25.531382500000007,27.950060000000008
2024,FL,2305,0,514,3.3155154746203883,19.03035060000002,40.49884999999995
2024,GA,4995,0,1527,3.1407496996997,17.00693799999999,32.68416000000002
2024,HI,20,0,20,3.332278500000001,7.057536000000027,7.057536000000027
2024,IA,1053,0,0,0.0,0.0,0.0
2024,IL,1156,0,1156,3.7608690899653894,19.89292499999999,32.83864700000004
2024,IN,2411,0,920,4.8184694247200275,17.089435999999978,19.498751999999968
2024,KS,1778,0,860,5.151529976940388,20.294016,23.72812799999997
2024,LA,824,0,122,3.0226728531553366,22.01462099999977,24.013259999999946
2024,MI,1556,0,346,2.2014292589974263,24.044006000000024,30.952020000000005
2024,MO,2404,0,625,4.338823655574036,17.042963999999984,27.58669599999996
2024,MS,1745,0,642,5.98421777650431,20.44812300000001,22.459253999999987
2024,MT,646,0,0,0.0,0.0,0.0
2024,NC,2509,0,354,3.0608763897967335,22.636352999999986,35.58189600000003
2024,ND,531,0,0,0.0,0.0,0.0
2024,NE,1949,0,837,4.574924015905584,26.405624999999986,27.343124999999986
2024,NH,180,0,90,4.627527666666664,19.938788999999986,19.938788999999986
2024,OH,3017,0,869,2.866778848193567,14.858495999999946,23.96223599999996
2024,OK,915,0,155,3.220646603278687,19.84636499999999,24.959159999999997
2024,OR,514,0,514,1.234910856031145,2.6730400000000145,3.941000000000031
2024,SC,1080,0,229,3.3028269731481554,19.223911000000044,21.57716000000005
2024,SD,596,0,0,0.0,0.0,0.0
2024,TN,2410,0,562,4.542805414937764,20.818200000000047,23.710765000000038
2024,TX,5442,0,828,3.6365959105108434,25.20435599999996,48.10980200000006
2024,UT,323,0,93,0.8556960278637756,5.216846999999969,8.719360000000052
2024,WI,1633,0,301,2.3593649620330646,30.186563399999898,38.92987799999992
2024,WV,715,0,330,5.651762883916081,24.960193000000004,27.523550999999998
2024,WY,207,0,0,0.0,0.0,0.0
