scope,breakdown_type,transition,state,year,entity_field,entity_id,failure_type,rows,failures,failure_rate,enrollment_in_failed_rows
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OK,2022,,,missing_premium_flag,77,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OK,2022,,,missing_county_mapping_flag,77,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OR,2022,,,missing_previous_plan_flag,36,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OR,2022,,,missing_crosswalk_flag,36,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OR,2022,,,missing_current_plan_flag,36,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OR,2022,,,missing_premium_flag,36,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OR,2022,,,missing_county_mapping_flag,36,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SC,2022,,,missing_previous_plan_flag,46,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SC,2022,,,missing_crosswalk_flag,46,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SC,2022,,,missing_current_plan_flag,46,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SC,2022,,,missing_premium_flag,46,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SC,2022,,,missing_county_mapping_flag,46,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SD,2022,,,missing_previous_plan_flag,66,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SD,2022,,,missing_crosswalk_flag,66,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SD,2022,,,missing_current_plan_flag,66,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SD,2022,,,missing_premium_flag,66,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,SD,2022,,,missing_county_mapping_flag,66,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TN,2022,,,missing_previous_plan_flag,95,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TN,2022,,,missing_crosswalk_flag,95,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TN,2022,,,missing_current_plan_flag,95,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TN,2022,,,missing_premium_flag,95,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TN,2022,,,missing_county_mapping_flag,95,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TX,2022,,,missing_previous_plan_flag,254,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TX,2022,,,missing_crosswalk_flag,254,0,0.0,0.0
