transition,year,state,issuer_concept,county_years,across_county_years,across_share,affected_plan_pair_rows
2022_to_2023,2023,NH,plan_panel_issuer_only,10,0,0.0,0
2022_to_2023,2023,OH,plan_panel_issuer_only,88,1,0.011363636363636364,2
2022_to_2023,2023,OK,plan_panel_issuer_only,77,0,0.0,0
2022_to_2023,2023,OR,plan_panel_issuer_only,36,0,0.0,0
2022_to_2023,2023,SC,plan_panel_issuer_only,46,1,0.021739130434782608,1
2022_to_2023,2023,SD,plan_panel_issuer_only,66,0,0.0,0
2022_to_2023,2023,TN,plan_panel_issuer_only,95,0,0.0,0
2022_to_2023,2023,TX,plan_panel_issuer_only,254,0,0.0,0
2022_to_2023,2023,UT,plan_panel_issuer_only,29,0,0.0,0
2022_to_2023,2023,VA,plan_panel_issuer_only,133,0,0.0,0
2022_to_2023,2023,WI,plan_panel_issuer_only,72,0,0.0,0
2022_to_2023,2023,WV,plan_panel_issuer_only,55,0,0.0,0
2022_to_2023,2023,WY,plan_panel_issuer_only,23,0,0.0,0
2022_to_2023,2023,ALL,plan_id_prefix,2449,5,0.002041649652919559,6
2022_to_2023,2023,AK,plan_id_prefix,30,0,0.0,0
2022_to_2023,2023,AL,plan_id_prefix,67,0,0.0,0
2022_to_2023,2023,AR,plan_id_prefix,75,0,0.0,0
2022_to_2023,2023,AZ,plan_id_prefix,15,0,0.0,0
2022_to_2023,2023,DE,plan_id_prefix,3,0,0.0,0
2022_to_2023,2023,FL,plan_id_prefix,67,0,0.0,0
2022_to_2023,2023,GA,plan_id_prefix,159,0,0.0,0
2022_to_2023,2023,HI,plan_id_prefix,5,0,0.0,0
2022_to_2023,2023,IA,plan_id_prefix,99,0,0.0,0
2022_to_2023,2023,IL,plan_id_prefix,102,0,0.0,0
2022_to_2023,2023,IN,plan_id_prefix,92,0,0.0,0
2022_to_2023,2023,KS,plan_id_prefix,105,0,0.0,0
2022_to_2023,2023,LA,plan_id_prefix,64,0,0.0,0
2022_to_2023,2023,MI,plan_id_prefix,83,0,0.0,0
2022_to_2023,2023,MO,plan_id_prefix,115,0,0.0,0
2022_to_2023,2023,MS,plan_id_prefix,82,0,0.0,0
2022_to_2023,2023,MT,plan_id_prefix,56,0,0.0,0
2022_to_2023,2023,NC,plan_id_prefix,100,3,0.03,3
2022_to_2023,2023,ND,plan_id_prefix,53,0,0.0,0
2022_to_2023,2023,NE,plan_id_prefix,93,0,0.0,0
2022_to_2023,2023,NH,plan_id_prefix,10,0,0.0,0
2022_to_2023,2023,OH,plan_id_prefix,88,1,0.011363636363636364,2
2022_to_2023,2023,OK,plan_id_prefix,77,0,0.0,0
2022_to_2023,2023,OR,plan_id_prefix,36,0,0.0,0
2022_to_2023,2023,SC,plan_id_prefix,46,1,0.021739130434782608,1
2022_to_2023,2023,SD,plan_id_prefix,66,0,0.0,0
2022_to_2023,2023,TN,plan_id_prefix,95,0,0.0,0
2022_to_2023,2023,TX,plan_id_prefix,254,0,0.0,0
2022_to_2023,2023,UT,plan_id_prefix,29,0,0.0,0
2022_to_2023,2023,VA,plan_id_prefix,133,0,0.0,0
2022_to_2023,2023,WI,plan_id_prefix,72,0,0.0,0
2022_to_2023,2023,WV,plan_id_prefix,55,0,0.0,0
2022_to_2023,2023,WY,plan_id_prefix,23,0,0.0,0
