variable,category,year,raw_name,match_type
VARSTR,survey,2020,VARSTR,exact
VARSTR,survey,2021,VARSTR,exact
VARSTR,survey,2022,VARSTR,exact
VARSTR,survey,2023,VARSTR,exact
VARPSU,survey,1996,VARPSU96,suffix_96
VARPSU,survey,1997,VARPSU97,suffix_97
VARPSU,survey,1998,VARPSU98,suffix_98
VARPSU,survey,1999,VARPSU99,suffix_99
VARPSU,survey,2000,VARPSU00,suffix_00
VARPSU,survey,2001,VARPSU01,suffix_01
VARPSU,survey,2002,VARPSU,exact
VARPSU,survey,2003,VARPSU,exact
VARPSU,survey,2004,VARPSU,exact
VARPSU,survey,2005,VARPSU,exact
VARPSU,survey,2006,VARPSU,exact
VARPSU,survey,2007,VARPSU,exact
VARPSU,survey,2008,VARPSU,exact
VARPSU,survey,2009,VARPSU,exact
VARPSU,survey,2010,VARPSU,exact
VARPSU,survey,2011,VARPSU,exact
VARPSU,survey,2012,VARPSU,exact
VARPSU,survey,2013,VARPSU,exact
VARPSU,survey,2014,VARPSU,exact
VARPSU,survey,2015,VARPSU,exact
VARPSU,survey,2016,VARPSU,exact
VARPSU,survey,2017,VARPSU,exact
VARPSU,survey,2018,VARPSU,exact
VARPSU,survey,2019,VARPSU,exact
VARPSU,survey,2020,VARPSU,exact
VARPSU,survey,2021,VARPSU,exact
VARPSU,survey,2022,VARPSU,exact
VARPSU,survey,2023,VARPSU,exact
DOBMM,age,1996,DOBMM,exact
DOBMM,age,1997,DOBMM,exact
DOBMM,age,1998,DOBMM,exact
DOBMM,age,1999,DOBMM,exact
DOBMM,age,2000,DOBMM,exact
DOBMM,age,2001,DOBMM,exact
DOBMM,age,2002,DOBMM,exact
DOBMM,age,2003,DOBMM,exact
DOBMM,age,2004,DOBMM,exact
DOBMM,age,2005,DOBMM,exact
DOBMM,age,2006,DOBMM,exact
DOBMM,age,2007,DOBMM,exact
DOBMM,age,2008,DOBMM,exact
DOBMM,age,2009,DOBMM,exact
DOBMM,age,2010,DOBMM,exact
DOBMM,age,2011,DOBMM,exact
DOBMM,age,2012,DOBMM,exact
DOBMM,age,2013,DOBMM,exact
DOBMM,age,2014,DOBMM,exact
DOBMM,age,2015,DOBMM,exact
DOBMM,age,2016,DOBMM,exact
DOBMM,age,2017,DOBMM,exact
DOBMM,age,2018,DOBMM,exact
DOBMM,age,2019,DOBMM,exact
DOBMM,age,2020,DOBMM,exact
DOBMM,age,2021,DOBMM,exact
DOBMM,age,2022,DOBMM,exact
DOBMM,age,2023,DOBMM,exact
DOBYY,age,1996,DOBYY,exact
DOBYY,age,1997,DOBYY,exact
DOBYY,age,1998,DOBYY,exact
DOBYY,age,1999,DOBYY,exact
DOBYY,age,2000,DOBYY,exact
DOBYY,age,2001,DOBYY,exact
DOBYY,age,2002,DOBYY,exact
DOBYY,age,2003,DOBYY,exact
DOBYY,age,2004,DOBYY,exact
DOBYY,age,2005,DOBYY,exact
DOBYY,age,2006,DOBYY,exact
DOBYY,age,2007,DOBYY,exact
DOBYY,age,2008,DOBYY,exact
DOBYY,age,2009,DOBYY,exact
DOBYY,age,2010,DOBYY,exact
DOBYY,age,2011,DOBYY,exact
DOBYY,age,2012,DOBYY,exact
DOBYY,age,2013,DOBYY,exact
DOBYY,age,2014,DOBYY,exact
DOBYY,age,2015,DOBYY,exact
DOBYY,age,2016,DOBYY,exact
DOBYY,age,2017,DOBYY,exact
DOBYY,age,2018,DOBYY,exact
DOBYY,age,2019,DOBYY,exact
DOBYY,age,2020,DOBYY,exact
DOBYY,age,2021,DOBYY,exact
DOBYY,age,2022,DOBYY,exact
DOBYY,age,2023,DOBYY,exact
AGE,age,1996,AGE96X,suffix_96X
AGE,age,1997,AGE97X,suffix_97X
AGE,age,1998,AGE98X,suffix_98X
AGE,age,1999,AGE99X,suffix_99X
AGE,age,2000,AGE00X,suffix_00X
AGE,age,2001,AGE01X,suffix_01X
AGE,age,2002,AGE02X,suffix_02X
AGE,age,2003,AGE03X,suffix_03X
AGE,age,2004,AGE04X,suffix_04X
AGE,age,2005,AGE05X,suffix_05X
AGE,age,2006,AGE06X,suffix_06X
AGE,age,2007,AGE07X,suffix_07X
AGE,age,2008,AGE08X,suffix_08X
AGE,age,2009,AGE09X,suffix_09X
AGE,age,2010,AGE10X,suffix_10X
AGE,age,2011,AGE11X,suffix_11X
AGE,age,2012,AGE12X,suffix_12X
AGE,age,2013,AGE13X,suffix_13X
AGE,age,2014,AGE14X,suffix_14X
AGE,age,2015,AGE15X,suffix_15X
AGE,age,2016,AGE16X,suffix_16X
AGE,age,2017,AGE17X,suffix_17X
AGE,age,2018,AGE18X,suffix_18X
AGE,age,2019,AGE19X,suffix_19X
AGE,age,2020,AGE20X,suffix_20X
AGE,age,2021,AGE21X,suffix_21X
AGE,age,2022,AGE22X,suffix_22X
AGE,age,2023,AGE23X,suffix_23X
ENDRFM42,age,1997,ENDRFM42,exact
ENDRFM42,age,1998,ENDRFM42,exact
ENDRFM42,age,1999,ENDRFM42,exact
ENDRFM42,age,2000,ENDRFM42,exact
ENDRFM42,age,2001,ENDRFM42,exact
ENDRFM42,age,2002,ENDRFM42,exact
ENDRFM42,age,2003,ENDRFM42,exact
ENDRFM42,age,2004,ENDRFM42,exact
ENDRFM42,age,2005,ENDRFM42,exact
ENDRFM42,age,2006,ENDRFM42,exact
ENDRFM42,age,2007,ENDRFM42,exact
ENDRFM42,age,2008,ENDRFM42,exact
ENDRFM42,age,2009,ENDRFM42,exact
ENDRFM42,age,2010,ENDRFM42,exact
ENDRFM42,age,2011,ENDRFM42,exact
ENDRFM42,age,2012,ENDRFM42,exact
ENDRFM42,age,2013,ENDRFM42,exact
ENDRFM42,age,2014,ENDRFM42,exact
ENDRFM42,age,2015,ENDRFM42,exact
ENDRFM42,age,2016,ENDRFM42,exact
ENDRFM42,age,2017,ENDRFM42,exact
ENDRFM42,age,2018,ENDRFM42,exact
ENDRFM42,age,2019,ENDRFM42,exact
ENDRFM42,age,2020,ENDRFM42,exact
ENDRFM42,age,2021,ENDRFM42,exact
ENDRFM42,age,2022,ENDRFM42,exact
ENDRFM42,age,2023,ENDRFM42,exact
ENDRFY42,age,1997,ENDRFY42,exact
ENDRFY42,age,1998,ENDRFY42,exact
ENDRFY42,age,1999,ENDRFY42,exact
ENDRFY42,age,2000,ENDRFY42,exact
ENDRFY42,age,2001,ENDRFY42,exact
ENDRFY42,age,2002,ENDRFY42,exact
ENDRFY42,age,2003,ENDRFY42,exact
ENDRFY42,age,2004,ENDRFY42,exact
ENDRFY42,age,2005,ENDRFY42,exact
ENDRFY42,age,2006,ENDRFY42,exact
ENDRFY42,age,2007,ENDRFY42,exact
ENDRFY42,age,2008,ENDRFY42,exact
ENDRFY42,age,2009,ENDRFY42,exact
ENDRFY42,age,2010,ENDRFY42,exact
ENDRFY42,age,2011,ENDRFY42,exact
ENDRFY42,age,2012,ENDRFY42,exact
ENDRFY42,age,2013,ENDRFY42,exact
ENDRFY42,age,2014,ENDRFY42,exact
ENDRFY42,age,2015,ENDRFY42,exact
ENDRFY42,age,2016,ENDRFY42,exact
ENDRFY42,age,2017,ENDRFY42,exact
ENDRFY42,age,2018,ENDRFY42,exact
ENDRFY42,age,2019,ENDRFY42,exact
ENDRFY42,age,2020,ENDRFY42,exact
ENDRFY42,age,2021,ENDRFY42,exact
ENDRFY42,age,2022,ENDRFY42,exact
ENDRFY42,age,2023,ENDRFY42,exact
SEX,demographics,1996,SEX,exact
SEX,demographics,1997,SEX,exact
SEX,demographics,1998,SEX,exact
SEX,demographics,1999,SEX,exact
SEX,demographics,2000,SEX,exact
SEX,demographics,2001,SEX,exact
SEX,demographics,2002,SEX,exact
SEX,demographics,2003,SEX,exact
SEX,demographics,2004,SEX,exact
SEX,demographics,2005,SEX,exact
SEX,demographics,2006,SEX,exact
SEX,demographics,2007,SEX,exact
SEX,demographics,2008,SEX,exact
SEX,demographics,2009,SEX,exact
SEX,demographics,2010,SEX,exact
SEX,demographics,2011,SEX,exact
SEX,demographics,2012,SEX,exact
SEX,demographics,2013,SEX,exact
SEX,demographics,2014,SEX,exact
SEX,demographics,2015,SEX,exact
SEX,demographics,2016,SEX,exact
SEX,demographics,2017,SEX,exact
SEX,demographics,2018,SEX,exact
SEX,demographics,2019,SEX,exact
SEX,demographics,2020,SEX,exact
SEX,demographics,2021,SEX,exact
SEX,demographics,2022,SEX,exact
SEX,demographics,2023,SEX,exact
RACETHX,demographics,2012,RACETHX,exact
RACETHX,demographics,2013,RACETHX,exact
RACETHX,demographics,2014,RACETHX,exact
RACETHX,demographics,2015,RACETHX,exact
RACETHX,demographics,2016,RACETHX,exact
RACETHX,demographics,2017,RACETHX,exact
RACETHX,demographics,2018,RACETHX,exact
RACETHX,demographics,2019,RACETHX,exact
RACETHX,demographics,2020,RACETHX,exact
RACETHX,demographics,2021,RACETHX,exact
RACETHX,demographics,2022,RACETHX,exact
RACETHX,demographics,2023,RACETHX,exact
HISPANX,demographics,1996,HISPANX,exact
HISPANX,demographics,1997,HISPANX,exact
HISPANX,demographics,1998,HISPANX,exact
HISPANX,demographics,1999,HISPANX,exact
HISPANX,demographics,2000,HISPANX,exact
HISPANX,demographics,2001,HISPANX,exact
HISPANX,demographics,2002,HISPANX,exact
HISPANX,demographics,2003,HISPANX,exact
HISPANX,demographics,2004,HISPANX,exact
HISPANX,demographics,2005,HISPANX,exact
HISPANX,demographics,2006,HISPANX,exact
HISPANX,demographics,2007,HISPANX,exact
HISPANX,demographics,2008,HISPANX,exact
HISPANX,demographics,2009,HISPANX,exact
HISPANX,demographics,2010,HISPANX,exact
HISPANX,demographics,2011,HISPANX,exact
HISPANX,demographics,2012,HISPANX,exact
HISPANX,demographics,2013,HISPANX,exact
HISPANX,demographics,2014,HISPANX,exact
HISPANX,demographics,2015,HISPANX,exact
HISPANX,demographics,2016,HISPANX,exact
HISPANX,demographics,2017,HISPANX,exact
HISPANX,demographics,2018,HISPANX,exact
HISPANX,demographics,2019,HISPANX,exact
HISPANX,demographics,2020,HISPANX,exact
HISPANX,demographics,2021,HISPANX,exact
HISPANX,demographics,2022,HISPANX,exact
HISPANX,demographics,2023,HISPANX,exact
RACEV1X,demographics,2012,RACEV1X,exact
RACEV1X,demographics,2013,RACEV1X,exact
RACEV1X,demographics,2014,RACEV1X,exact
RACEV1X,demographics,2015,RACEV1X,exact
RACEV1X,demographics,2016,RACEV1X,exact
RACEV1X,demographics,2017,RACEV1X,exact
RACEV1X,demographics,2018,RACEV1X,exact
RACEV1X,demographics,2019,RACEV1X,exact
RACEV1X,demographics,2020,RACEV1X,exact
RACEV1X,demographics,2021,RACEV1X,exact
RACEV1X,demographics,2022,RACEV1X,exact
RACEV1X,demographics,2023,RACEV1X,exact
RACEV2X,demographics,2013,RACEV2X,exact
RACEV2X,demographics,2014,RACEV2X,exact
RACEV2X,demographics,2015,RACEV2X,exact
RACEV2X,demographics,2016,RACEV2X,exact
RACEV2X,demographics,2017,RACEV2X,exact
RACEV2X,demographics,2018,RACEV2X,exact
RACEV2X,demographics,2019,RACEV2X,exact
RACEV2X,demographics,2020,RACEV2X,exact
RACEV2X,demographics,2021,RACEV2X,exact
RACEV2X,demographics,2022,RACEV2X,exact
RACEV2X,demographics,2023,RACEV2X,exact
MARRY,demographics,1996,MARRY96X,suffix_96X
MARRY,demographics,1997,MARRY97X,suffix_97X
MARRY,demographics,1998,MARRY98X,suffix_98X
MARRY,demographics,1999,MARRY99X,suffix_99X
MARRY,demographics,2000,MARRY00X,suffix_00X
MARRY,demographics,2001,MARRY01X,suffix_01X
MARRY,demographics,2002,MARRY02X,suffix_02X
MARRY,demographics,2003,MARRY03X,suffix_03X
MARRY,demographics,2004,MARRY04X,suffix_04X
MARRY,demographics,2005,MARRY05X,suffix_05X
MARRY,demographics,2006,MARRY06X,suffix_06X
MARRY,demographics,2007,MARRY07X,suffix_07X
MARRY,demographics,2008,MARRY08X,suffix_08X
MARRY,demographics,2009,MARRY09X,suffix_09X
MARRY,demographics,2010,MARRY10X,suffix_10X
MARRY,demographics,2011,MARRY11X,suffix_11X
MARRY,demographics,2012,MARRY12X,suffix_12X
MARRY,demographics,2013,MARRY13X,suffix_13X
MARRY,demographics,2014,MARRY14X,suffix_14X
MARRY,demographics,2015,MARRY15X,suffix_15X
MARRY,demographics,2016,MARRY16X,suffix_16X
MARRY,demographics,2017,MARRY17X,suffix_17X
MARRY,demographics,2018,MARRY18X,suffix_18X
MARRY,demographics,2019,MARRY19X,suffix_19X
MARRY,demographics,2020,MARRY20X,suffix_20X
MARRY,demographics,2021,MARRY21X,suffix_21X
MARRY,demographics,2022,MARRY22X,suffix_22X
MARRY,demographics,2023,MARRY23X,suffix_23X
EDUCYR,demographics,1996,EDUCYR96,suffix_96
EDUCYR,demographics,1997,EDUCYR97,suffix_97
EDUCYR,demographics,1998,EDUCYR98,suffix_98
EDUCYR,demographics,2005,EDUCYR,exact
EDUCYR,demographics,2006,EDUCYR,exact
EDUCYR,demographics,2007,EDUCYR,exact
EDUCYR,demographics,2008,EDUCYR,exact
EDUCYR,demographics,2009,EDUCYR,exact
EDUCYR,demographics,2010,EDUCYR,exact
EDUCYR,demographics,2011,EDUCYR,exact
EDUCYR,demographics,2012,EDUCYR,exact
EDUCYR,demographics,2014,EDUCYR,exact
EDUCYR,demographics,2015,EDUCYR,exact
EDUCYR,demographics,2016,EDUCYR,exact
EDUCYR,demographics,2017,EDUCYR,exact
EDUCYR,demographics,2018,EDUCYR,exact
EDUCYR,demographics,2019,EDUCYR,exact
EDUCYR,demographics,2020,EDUCYR,exact
EDUCYR,demographics,2021,EDUCYR,exact
EDUCYR,demographics,2022,EDUCYR,exact
EDUCYR,demographics,2023,EDUCYR,exact
HIDEG,demographics,1996,HIDEG96,suffix_96
HIDEG,demographics,1997,HIDEG97,suffix_97
HIDEG,demographics,1998,HIDEG98,suffix_98
HIDEG,demographics,2005,HIDEG,exact
HIDEG,demographics,2006,HIDEG,exact
HIDEG,demographics,2007,HIDEG,exact
HIDEG,demographics,2008,HIDEG,exact
HIDEG,demographics,2009,HIDEG,exact
HIDEG,demographics,2010,HIDEG,exact
HIDEG,demographics,2011,HIDEG,exact
HIDEG,demographics,2012,HIDEG,exact
HIDEG,demographics,2015,HIDEG,exact
HIDEG,demographics,2016,HIDEG,exact
HIDEG,demographics,2017,HIDEG,exact
HIDEG,demographics,2018,HIDEG,exact
HIDEG,demographics,2019,HIDEG,exact
HIDEG,demographics,2020,HIDEG,exact
HIDEG,demographics,2021,HIDEG,exact
HIDEG,demographics,2022,HIDEG,exact
HIDEG,demographics,2023,HIDEG,exact
REGION,demographics,1996,REGION96,suffix_96
REGION,demographics,1997,REGION97,suffix_97
REGION,demographics,1998,REGION98,suffix_98
REGION,demographics,1999,REGION99,suffix_99
REGION,demographics,2000,REGION00,suffix_00
REGION,demographics,2001,REGION01,suffix_01
REGION,demographics,2002,REGION02,suffix_02
REGION,demographics,2003,REGION03,suffix_03
REGION,demographics,2004,REGION04,suffix_04
REGION,demographics,2005,REGION05,suffix_05
REGION,demographics,2006,REGION06,suffix_06
REGION,demographics,2007,REGION07,suffix_07
REGION,demographics,2008,REGION08,suffix_08
REGION,demographics,2009,REGION09,suffix_09
REGION,demographics,2010,REGION10,suffix_10
REGION,demographics,2011,REGION11,suffix_11
REGION,demographics,2012,REGION12,suffix_12
REGION,demographics,2013,REGION13,suffix_13
REGION,demographics,2014,REGION14,suffix_14
REGION,demographics,2015,REGION15,suffix_15
REGION,demographics,2016,REGION16,suffix_16
REGION,demographics,2017,REGION17,suffix_17
REGION,demographics,2018,REGION18,suffix_18
REGION,demographics,2019,REGION19,suffix_19
REGION,demographics,2020,REGION20,suffix_20
REGION,demographics,2021,REGION21,suffix_21
REGION,demographics,2022,REGION22,suffix_22
REGION,demographics,2023,REGION23,suffix_23
BORNUSA,demographics,2013,BORNUSA,exact
BORNUSA,demographics,2014,BORNUSA,exact
BORNUSA,demographics,2015,BORNUSA,exact
BORNUSA,demographics,2016,BORNUSA,exact
BORNUSA,demographics,2017,BORNUSA,exact
BORNUSA,demographics,2018,BORNUSA,exact
BORNUSA,demographics,2019,BORNUSA,exact
BORNUSA,demographics,2020,BORNUSA,exact
BORNUSA,demographics,2021,BORNUSA,exact
BORNUSA,demographics,2022,BORNUSA,exact
BORNUSA,demographics,2023,BORNUSA,exact
YRSINUS,demographics,2013,YRSINUS,exact
YRSINUS,demographics,2014,YRSINUS,exact
YRSINUS,demographics,2015,YRSINUS,exact
YRSINUS,demographics,2016,YRSINUS,exact
YRSINUS,demographics,2017,YRSINUS,exact
YRSINUS,demographics,2018,YRSINUS,exact
YRSINUS,demographics,2019,YRSINUS,exact
YRSINUS,demographics,2020,YRSINUS,exact
YRSINUS,demographics,2021,YRSINUS,exact
YRSINUS,demographics,2022,YRSINUS,exact
YRSINUS,demographics,2023,YRSINUS,exact
HWELLSPK,demographics,2018,HWELLSPK,exact
HWELLSPK,demographics,2019,HWELLSPK,exact
HWELLSPK,demographics,2020,HWELLSPK,exact
HWELLSPK,demographics,2021,HWELLSPK,exact
HWELLSPK,demographics,2022,HWELLSPK,exact
HWELLSPK,demographics,2023,HWELLSPK,exact
FAMINC,income,2007,FAMINC07,suffix_07
FAMINC,income,2008,FAMINC08,suffix_08
FAMINC,income,2009,FAMINC09,suffix_09
FAMINC,income,2010,FAMINC10,suffix_10
FAMINC,income,2011,FAMINC11,suffix_11
FAMINC,income,2012,FAMINC12,suffix_12
FAMINC,income,2013,FAMINC13,suffix_13
FAMINC,income,2014,FAMINC14,suffix_14
FAMINC,income,2015,FAMINC15,suffix_15
FAMINC,income,2016,FAMINC16,suffix_16
FAMINC,income,2017,FAMINC17,suffix_17
FAMINC,income,2018,FAMINC18,suffix_18
FAMINC,income,2019,FAMINC19,suffix_19
FAMINC,income,2020,FAMINC20,suffix_20
FAMINC,income,2021,FAMINC21,suffix_21
FAMINC,income,2022,FAMINC22,suffix_22
FAMINC,income,2023,FAMINC23,suffix_23
TTLP,income,1997,TTLP97X,suffix_97X
TTLP,income,1998,TTLP98X,suffix_98X
TTLP,income,1999,TTLP99X,suffix_99X
TTLP,income,2000,TTLP00X,suffix_00X
TTLP,income,2001,TTLP01X,suffix_01X
TTLP,income,2002,TTLP02X,suffix_02X
TTLP,income,2003,TTLP03X,suffix_03X
TTLP,income,2004,TTLP04X,suffix_04X
TTLP,income,2005,TTLP05X,suffix_05X
TTLP,income,2006,TTLP06X,suffix_06X
TTLP,income,2007,TTLP07X,suffix_07X
TTLP,income,2008,TTLP08X,suffix_08X
TTLP,income,2009,TTLP09X,suffix_09X
TTLP,income,2010,TTLP10X,suffix_10X
TTLP,income,2011,TTLP11X,suffix_11X
TTLP,income,2012,TTLP12X,suffix_12X
TTLP,income,2013,TTLP13X,suffix_13X
TTLP,income,2014,TTLP14X,suffix_14X
TTLP,income,2015,TTLP15X,suffix_15X
TTLP,income,2016,TTLP16X,suffix_16X
TTLP,income,2017,TTLP17X,suffix_17X
TTLP,income,2018,TTLP18X,suffix_18X
TTLP,income,2019,TTLP19X,suffix_19X
TTLP,income,2020,TTLP20X,suffix_20X
TTLP,income,2021,TTLP21X,suffix_21X
TTLP,income,2022,TTLP22X,suffix_22X
TTLP,income,2023,TTLP23X,suffix_23X
POVCAT,income,1996,POVCAT,exact
POVCAT,income,1997,POVCAT97,suffix_97
POVCAT,income,1998,POVCAT98,suffix_98
POVCAT,income,1999,POVCAT99,suffix_99
POVCAT,income,2000,POVCAT00,suffix_00
POVCAT,income,2001,POVCAT01,suffix_01
POVCAT,income,2002,POVCAT02,suffix_02
POVCAT,income,2003,POVCAT03,suffix_03
POVCAT,income,2004,POVCAT04,suffix_04
POVCAT,income,2005,POVCAT05,suffix_05
POVCAT,income,2006,POVCAT06,suffix_06
POVCAT,income,2007,POVCAT07,suffix_07
POVCAT,income,2008,POVCAT08,suffix_08
POVCAT,income,2009,POVCAT09,suffix_09
POVCAT,income,2010,POVCAT10,suffix_10
POVCAT,income,2011,POVCAT11,suffix_11
POVCAT,income,2012,POVCAT12,suffix_12
POVCAT,income,2013,POVCAT13,suffix_13
POVCAT,income,2014,POVCAT14,suffix_14
POVCAT,income,2015,POVCAT15,suffix_15
POVCAT,income,2016,POVCAT16,suffix_16
POVCAT,income,2017,POVCAT17,suffix_17
POVCAT,income,2018,POVCAT18,suffix_18
POVCAT,income,2019,POVCAT19,suffix_19
POVCAT,income,2020,POVCAT20,suffix_20
POVCAT,income,2021,POVCAT21,suffix_21
POVCAT,income,2022,POVCAT22,suffix_22
POVCAT,income,2023,POVCAT23,suffix_23
POVLEV,income,2007,POVLEV07,suffix_07
POVLEV,income,2008,POVLEV08,suffix_08
POVLEV,income,2009,POVLEV09,suffix_09
POVLEV,income,2010,POVLEV10,suffix_10
POVLEV,income,2011,POVLEV11,suffix_11
POVLEV,income,2012,POVLEV12,suffix_12
POVLEV,income,2013,POVLEV13,suffix_13
POVLEV,income,2014,POVLEV14,suffix_14
POVLEV,income,2015,POVLEV15,suffix_15
POVLEV,income,2016,POVLEV16,suffix_16
POVLEV,income,2017,POVLEV17,suffix_17
POVLEV,income,2018,POVLEV18,suffix_18
POVLEV,income,2019,POVLEV19,suffix_19
POVLEV,income,2020,POVLEV20,suffix_20
POVLEV,income,2021,POVLEV21,suffix_21
POVLEV,income,2022,POVLEV22,suffix_22
POVLEV,income,2023,POVLEV23,suffix_23
EMPST42,employment,1997,EMPST42,exact
EMPST42,employment,1998,EMPST42,exact
EMPST42,employment,1999,EMPST42,exact
EMPST42,employment,2000,EMPST42,exact
EMPST42,employment,2001,EMPST42,exact
EMPST42,employment,2002,EMPST42,exact
EMPST42,employment,2003,EMPST42,exact
EMPST42,employment,2004,EMPST42,exact
EMPST42,employment,2005,EMPST42,exact
EMPST42,employment,2006,EMPST42,exact
EMPST42,employment,2007,EMPST42,exact
EMPST42,employment,2008,EMPST42,exact
EMPST42,employment,2009,EMPST42,exact
EMPST42,employment,2010,EMPST42,exact
EMPST42,employment,2011,EMPST42,exact
EMPST42,employment,2012,EMPST42,exact
EMPST42,employment,2013,EMPST42,exact
EMPST42,employment,2014,EMPST42,exact
EMPST42,employment,2015,EMPST42,exact
EMPST42,employment,2016,EMPST42,exact
EMPST42,employment,2017,EMPST42,exact
EMPST42,employment,2018,EMPST42,exact
EMPST42,employment,2019,EMPST42,exact
EMPST42,employment,2020,EMPST42,exact
EMPST42,employment,2021,EMPST42,exact
EMPST42,employment,2022,EMPST42,exact
EMPST42,employment,2023,EMPST42,exact
EMPST31,employment,1997,EMPST31,exact
EMPST31,employment,1998,EMPST31,exact
EMPST31,employment,1999,EMPST31,exact
EMPST31,employment,2000,EMPST31,exact
EMPST31,employment,2001,EMPST31,exact
EMPST31,employment,2002,EMPST31,exact
EMPST31,employment,2003,EMPST31,exact
EMPST31,employment,2004,EMPST31,exact
EMPST31,employment,2005,EMPST31,exact
EMPST31,employment,2006,EMPST31,exact
EMPST31,employment,2007,EMPST31,exact
EMPST31,employment,2008,EMPST31,exact
