scope,current_mapped_plan_rows,year,found_in_silver_panel,missing_from_silver_but_found_all_metal,missing_from_both,found_non_silver_in_all_metal,rank,state
state_year_rank,64,2022.0,64,0,0,0,lowest,LA
state_year_rank,64,2022.0,64,0,0,0,second_lowest,LA
state_year_rank,83,2022.0,83,0,0,0,lowest,MI
state_year_rank,83,2022.0,83,0,0,0,second_lowest,MI
state_year_rank,115,2022.0,115,0,0,0,lowest,MO
state_year_rank,115,2022.0,115,0,0,0,second_lowest,MO
state_year_rank,82,2022.0,82,0,0,0,lowest,MS
state_year_rank,82,2022.0,82,0,0,0,second_lowest,MS
state_year_rank,56,2022.0,56,0,0,0,lowest,MT
state_year_rank,56,2022.0,56,0,0,0,second_lowest,MT
state_year_rank,100,2022.0,100,0,0,0,lowest,NC
state_year_rank,100,2022.0,100,0,0,0,second_lowest,NC
state_year_rank,53,2022.0,53,0,0,0,lowest,ND
state_year_rank,53,2022.0,53,0,0,0,second_lowest,ND
state_year_rank,93,2022.0,93,0,0,0,lowest,NE
state_year_rank,93,2022.0,93,0,0,0,second_lowest,NE
state_year_rank,10,2022.0,10,0,0,0,lowest,NH
state_year_rank,10,2022.0,10,0,0,0,second_lowest,NH
state_year_rank,88,2022.0,88,0,0,0,lowest,OH
state_year_rank,88,2022.0,88,0,0,0,second_lowest,OH
state_year_rank,77,2022.0,77,0,0,0,lowest,OK
state_year_rank,77,2022.0,77,0,0,0,second_lowest,OK
state_year_rank,36,2022.0,36,0,0,0,lowest,OR
state_year_rank,36,2022.0,36,0,0,0,second_lowest,OR
state_year_rank,46,2022.0,46,0,0,0,lowest,SC
state_year_rank,46,2022.0,46,0,0,0,second_lowest,SC
state_year_rank,66,2022.0,66,0,0,0,lowest,SD
state_year_rank,66,2022.0,66,0,0,0,second_lowest,SD
state_year_rank,95,2022.0,95,0,0,0,lowest,TN
state_year_rank,95,2022.0,95,0,0,0,second_lowest,TN
state_year_rank,254,2022.0,254,0,0,0,lowest,TX
state_year_rank,254,2022.0,254,0,0,0,second_lowest,TX
state_year_rank,29,2022.0,29,0,0,0,lowest,UT
state_year_rank,29,2022.0,29,0,0,0,second_lowest,UT
state_year_rank,133,2022.0,133,0,0,0,lowest,VA
state_year_rank,133,2022.0,133,0,0,0,second_lowest,VA
state_year_rank,72,2022.0,72,0,0,0,lowest,WI
state_year_rank,72,2022.0,72,0,0,0,second_lowest,WI
state_year_rank,55,2022.0,55,0,0,0,lowest,WV
state_year_rank,55,2022.0,55,0,0,0,second_lowest,WV
state_year_rank,23,2022.0,23,0,0,0,lowest,WY
state_year_rank,23,2022.0,23,0,0,0,second_lowest,WY
state_year_rank,30,2023.0,30,0,0,0,lowest,AK
state_year_rank,30,2023.0,30,0,0,0,second_lowest,AK
state_year_rank,67,2023.0,67,0,0,0,lowest,AL
state_year_rank,67,2023.0,67,0,0,0,second_lowest,AL
state_year_rank,75,2023.0,75,0,0,0,lowest,AR
state_year_rank,75,2023.0,75,0,0,0,second_lowest,AR
state_year_rank,15,2023.0,15,0,0,0,lowest,AZ
state_year_rank,15,2023.0,15,0,0,0,second_lowest,AZ
state_year_rank,3,2023.0,3,0,0,0,lowest,DE
state_year_rank,3,2023.0,3,0,0,0,second_lowest,DE
state_year_rank,67,2023.0,67,0,0,0,lowest,FL
state_year_rank,67,2023.0,67,0,0,0,second_lowest,FL
state_year_rank,159,2023.0,159,0,0,0,lowest,GA
state_year_rank,159,2023.0,159,0,0,0,second_lowest,GA
state_year_rank,5,2023.0,5,0,0,0,lowest,HI
state_year_rank,5,2023.0,5,0,0,0,second_lowest,HI
