top_two_selection_variant,exposure_universe,premium_variant,default_mapping_rule,year,state,selected_top_two_plan_pairs,zero_prior_plan_pairs,zero_to_positive_plan_pairs,across_zero_to_positive_plan_pairs,same_issuer_zero_to_positive_plan_pairs,candidate_prior_plans_with_across_turnover_not_in_current_top_two,county_years_where_alternative_top_two_adds_across,county_years_where_current_top_two_has_same_issuer_but_alternative_has_across,county_years_where_current_top_two_has_no_turnover_but_alternative_has_turnover,county_years_where_tie_handling_changes_across,county_years_where_standard_component_collapse_changes_across,county_years_where_rating_area_handling_changes_across,difference_vs_current_repo_rule,difference_vs_drake_anchor_if_available
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,IN,184,122,105,0,105,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,KS,210,210,46,0,46,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,LA,128,128,34,0,34,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,MI,166,165,48,0,48,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,MO,230,230,142,0,142,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,MS,164,164,54,0,54,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,MT,112,112,56,0,56,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,NC,200,141,76,3,73,0,0,,,0,0,0,0,-208
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,ND,106,106,69,0,69,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,NE,186,186,186,0,186,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,NH,20,20,10,0,10,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,OH,176,158,134,2,132,0,0,,,0,0,0,0,-210
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,OK,154,144,32,0,32,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,OR,72,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,SC,92,92,68,1,67,0,0,,,0,0,0,0,-210
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,SD,132,132,82,0,82,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,TN,190,190,26,0,26,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,TX,508,489,388,0,388,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,UT,58,35,19,0,19,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,VA,266,233,199,0,199,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,WI,144,134,48,0,48,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,WV,110,15,9,0,9,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2023,WY,46,46,24,0,24,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,AK,60,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,AL,134,134,103,0,103,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,AR,150,150,150,0,150,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,AZ,30,30,19,0,19,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,DE,6,6,6,0,6,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,FL,134,123,81,4,77,0,0,,,0,0,0,0,-207
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,GA,318,318,189,0,189,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,IA,198,198,83,0,83,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,IN,184,161,97,6,91,0,0,,,0,0,0,0,-205
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,KS,210,210,146,0,146,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,LA,128,128,21,0,21,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,MI,166,166,40,0,40,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,MO,230,230,72,0,72,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,MS,164,123,64,0,64,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,MT,112,112,2,0,2,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,NC,200,200,115,0,115,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,ND,106,106,30,0,30,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,NE,186,186,14,0,14,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,NH,20,20,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,OH,176,117,74,0,74,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,OK,154,154,86,0,86,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,OR,72,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,SC,92,92,69,0,69,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,SD,132,132,59,0,59,0,0,,,0,0,0,0,-211
