source_group,year,file_type,source_page_url,direct_download_url,local_path,file_format,http_status,download_success,file_size_bytes,checksum_sha256,date_downloaded,notes
oep_puf,2023,Public Use Files Definitions PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2023-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2023-public-use-files-definitions.pdf,data\raw\oep_puf\2023\2023-public-use-files-definitions.pdf,pdf,200,True,271307,9915fdb5270b1c1d2522c55f5ed1c984b874d41963703ddf669d81c663b279b0,2026-05-26T16:38:53+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2023,Public Use Files FAQs PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2023-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2023-public-use-files-faqs.pdf,data\raw\oep_puf\2023\2023-public-use-files-faqs.pdf,pdf,200,True,295999,c9e2637a1a913f19b9b06f177318304e527bfb495d158ca9fcadad067b173162,2026-05-26T16:38:55+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2024,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2024-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2024-oep-state-level-public-use-file.zip,data\raw\oep_puf\2024\2024-oep-state-level-public-use-file.zip,zip,200,True,93025,8b98f8816c1769beff243cd64204ef2c431283c0ad21784196e2666777a6b5d9,2026-05-26T16:38:57+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2024,"State, Metal Level, and Enrollment Status OEP PUF",https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2024-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2024-oep-state-metal-level-and-enrollment-status-public-use-file.zip,data\raw\oep_puf\2024\2024-oep-state-metal-level-and-enrollment-status-public-use-file.zip,zip,200,True,148140,315650514d83cc6c4e6ba1a9a8eb28a230e2290688c0cf65b78fd5d366c020ee,2026-05-26T16:39:00+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2024,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2024-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2024-oep-county-level-public-use-file.zip,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,zip,200,True,1744456,5a368167bb84db8e64ab05f54ace5887e2290f5a9b30f7a5842d0253b11ef7b3,2026-05-26T16:39:02+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2024,Public Use Files Definitions PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2024-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2024-public-use-files-definitions.pdf,data\raw\oep_puf\2024\2024-public-use-files-definitions.pdf,pdf,200,True,285019,04dd09a836b04e32298c76b4a83377dce51e19757a34ea8952c16de5b4d4ddf1,2026-05-26T16:39:05+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2024,Public Use Files FAQs PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2024-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2024-public-use-files-faqs.pdf,data\raw\oep_puf\2024\2024-public-use-files-faqs.pdf,pdf,200,True,295725,7b353c2ee4b6e5c0b00c9400686e62b5d19551aa1ed0e84815163b5e4e76fa2d,2026-05-26T16:39:07+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2025,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2025-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2025-oep-state-level-public-use-file.zip,data\raw\oep_puf\2025\2025-oep-state-level-public-use-file.zip,zip,200,True,99029,4538f7f8797b1957fe50fa8834fc5eb5c6816ea5ea5d0acf74e84bdbf563c5c3,2026-05-26T16:39:10+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2025,"State, Metal Level, and Enrollment Status OEP PUF",https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2025-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2025-oep-state-metal-level-and-enrollment-status-public-use-file.zip,data\raw\oep_puf\2025\2025-oep-state-metal-level-and-enrollment-status-public-use-file.zip,zip,200,True,153300,36cfcdc601f1d573a3e02a1884c271f8ef14748352e10f3eab04d3a0dcc49f1c,2026-05-26T16:39:13+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2025,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2025-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2025-oep-county-level-public-use-file.zip,data\raw\oep_puf\2025\2025-oep-county-level-public-use-file.zip,zip,200,True,1668688,adb076c62020ddf1bdf56d5008de3da3aa4220e4098988cee66c36618ed87ff9,2026-05-26T16:39:15+00:00,Discovered from official CMS OEP PUF page.
